Comment;Statement/No statement;;;;;
"Ich persönlich vermeide den Begriff des &quot;Generischen Maskulinums&quot;, sondern verwende lieber den Begriff des &quot;Generischen Genus&quot;. Man möchte fast sagen, dass man damit einen Genderbeführworter mit seinen eigenen Waffen schlägt. Grammatikfeste wissen natürlich, dass das nicht der Fall ist, denn nur der Genderbeführworter stellt die These in den Raum, dass man die Sprache ändern muss, weil maskulin männlich (ist falsch), feminin weiblich (ist auch falsch), und divers (ja, und da gehen einem Gedermann-frau-gerne-was-auch-immer die Genera aus) &quot;?&quot; bedeutet. Ich entlarve sehr leicht diese These und weiß, dass man mit der Begrifflichkeit des &quot;Generischen Genus&quot; alle (auch diejenigen, die Gendern) ein wenig besseres Grammatikverständnis beibringen kann, denn sie müssen nun über diesen Begriff nachdenken. Denn tatsächlich ist das Problem nicht Sprache, sondern, dass die Menschen sie nicht zu gebrauchen, sogar leider auch schon zu hören oder lesen verstehen.";1;;;;;
Bravoooooo 😂😂;0;;;;;
Brüll!!! 😂😂😂😂😂😖 Weltklasse!!!!;0;;;;;
Versucht er (?) krampfhaft, witzig zu sein, oder eine Reaktion zu provozieren 🤔 ?<br>Zumindest ersteres ist ja glücklicherweise komplett gescheitert 🤦;0;;;;;
"Die &quot;Kernaktivität&quot; der AfD-Abgeordneten ist die &quot;Skandalisierung&quot; von Unwichtigkeiten. Wie der einer angeblichen &quot;Genderideologie&quot;, worüber sie xxxx-mal reden, posten etc. <br>So wieder der Berliner AfD-Abgeordnete, der hinter &quot;Fahrspur-Ende&quot; einen angeblichen &quot;Gender-Begriff vermutete und dazu twitterte:<br><a href=""https://www.tagesschau.de/schlusslicht/fahrspurende-101.html"">https://www.tagesschau.de/schlusslicht/fahrspurende-101.html</a>";0;;;;;
Beste Begrüssung die ich je gehört habe;0;;;;;
Ganz mein Humor 😂😂;0;;;;;
Bravo afd👏👏👏👏👏👏;0;;;;;
1614 Varianten Mensch wurden anscheinend vergessen zu begrüßen.;1;;;;;
Genial!!!!<br><br>Der Präsident hat volle dämlich drein geschaut.;0;;;;;
sehr geerte jude , das fehlt doch , man der hat wieder die lexicon vergessen !!  grusse aus frankreich , bei uns ist es noch schlimmer , unser president macht parties mit schwarze transgenderqueers;1;;;;;
Bei jedem Gegendere wird ein AFD-Wähler gebohren. Traurig.;1;;;;;
;0;;;;;
Ich kann nicht mehr😅🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣;0;;;;;
Sono italiana. Vorrei avere qui un politico così! Eccellente! Bravissimo!;0;;;;;
AFD!!!;0;;;;;
Θεούλης.;0;;;;;
Best!!!! Hahahaha;0;;;;;
legendär;0;;;;;
wenn man Loriot auf Wish bestellt...;0;;;;;
Alter wie respektlos sind die denn eine Frage zu stellen wenn er noch nicht mal mit der Begrüßung fertig ist ?;0;;;;;
😂😂;0;;;;;
Ich schau es mir grad zum 5ten mal an und bin begeistert!! 😃;0;;;;;
😂😂😂 👏👏👏;0;;;;;
einfach geil,dummland deutschland !!!!;0;;;;;
Sehr geil den ganzen Idioten mal schön den Spiegel ihrer Politik vor die Nase gehalten fettes double love like ^^btw ich bin vom Geschlecht her eine Waschmaschine mit Flügeln und wurde nicht erwähnt*sadface*;1;;;;;
Diese Gesellschaft hat nur mehr Sch... im Gehirn, ohne Zweifel, denn das kann man nicht mehr ernst nehmen! Es ist die Agenda zur Polarisierung und Separation zwischen allen und jedem!;1;;;;;
What😃The😃Fawk😃;0;;;;;
Eigentlich halte ich ja nichts von der AfD, aber diese Begrüßung hat sehr stark untermauert, wie lächerlich das Gendern ist.;1;;;;;
Bester Mann!!! Ich kann nicht mehr haha;0;;;;;
Simply the BEST zum Thema Gender-Wahnsinn!  Zum Glück haben wir in Deutschland keine anderen Probleme - war da nicht einmal ein kleines Virus?;1;;;;;
Dir Welt der Grünen. Haben die keine anderen Hobbys, diese verkifften arbeitsscheuen Totalversager?????;0;;;;;
;0;;;;;
Hammer Rede.;0;;;;;
Einfach nur cool 🤣;0;;;;;
Geil! 😄😄😄🤣🤣👍🏼;0;;;;;
Ich bin Transgender;1;;;;;
Wie geil ,ich lach mich tot...;0;;;;;
Maximum.;0;;;;;
Richtig witzig wäre der clip erst gewesen wenn die Afd-salonfaschisten dann geasgt hätten was sie gerne mit den Leuten verschiedenster Geschlechter machen würden, wenn diese Kleinigkeit einer demokratischen Grundordnung abgeschafft wäre.<br><br>Sidenote: Frau-zu-Mann und Trans-Mann ist dasselbe.Und Tranvestit und Drag sing keine Ansprechformeln sondern Hobbys/Kinks. Und allgemein sind 90% seiner Rede Quatsch. Vllt bevor man sich über den Gender-Gaga aufregt erstmal auch nur ein wenig schlau machen. Habe noch nie einen Gender-Debatten Gegner getroffen der auch nur die geringste Ahnung davon hat wogegen er eigentlich ist. :P;1;;;;;
"Zum Glück macht mal einer auf diesen Unsinn aufmerksam. <a href=""http://www.youtube.com/results?search_query=%23esgibtnurzweigeschlechter"">#Esgibtnurzweigeschlechter</a>";0;;;;;
Cool. (Not);0;;;;;
Volltrottel😂;0;;;;;
Ach du Heiliger Bimbam.  Das sind ja gefühlt 1000 verschiedene Einordnungen;0;;;;;
"Aber selbst wenn man schwul oder lesbisch ist, ist man doch trotzdem Frau oder Mann ?!<br>Man hätte einfach sagen können &quot;Sehr geehrte Frauen, Männer und sonstiges/Geschlechtslose.&quot; Wenn ich transsexuell bin und z.B. früher ein Mann war, bin ich doch trotzdem jetzt eine Frau. Also kann ich mich bei Frau angesprochen fühlen.";1;;;;;
"schade jetzt erst gesehen - goil - ja was lassen &quot;WIR&quot; alles mit uns machen?";0;;;;;
Super klasse.....so müsste man es immer machen...irgendwann geht den Politikern das so auf n Sack dass sie diesen Wahnsinn vielleicht abschaffen......Respekt liebe AFD....Wir lachen immer noch....weiter so;1;;;;;
Omg😭😭😭😭😭😭 ich hasse;0;;;;;
Sehr geehrte Cis-Männer und Cis-Frauen;0;;;;;
Es kann doch so einfach sein! Sehr geehrte Mitmenschen... Naja die AfD zeigt mal wieder was sie am besten kann, viel Gelaber um nichts.;1;;;;;
;0;;;;;
;0;;;;;
Verblödete Gesellschaft. Dieser Mann bringt es auf dem Punkt.;0;;;;;
sehr geehrte menschen ?;0;;;;;
"Ich kann mit der AFD nichts anfangen, aber das war mal eine Ansage!<br><br><br>Zur Gendergerechten Sprache empfehle ich immer Dr. Kubelik: <a href=""https://youtu.be/Ri-kVYDTEAk"">https://youtu.be/Ri-kVYDTEAk</a>";1;;;;;
Bester Vortrag jemals ! Habe mich zehn Minuten bepisst vor Lachen;0;;;;;
Das schockt ein ja richtig dieser Wahnsinn........;0;;;;;
"So Alpha &lt;3";0;;;;;
Gender [tschendär];1;;;;;
Dabei ernst zu bleiben, ist schon eine Leistung für sich. ^__^;0;;;;;
Hahahahaha!;0;;;;;
Bestes Video hier;0;;;;;
Dislikes von Transsuprainteriorenmetrainsesturalen Männern und Frauen ???;1;;;;;
"Das &quot;sehr geehrte&quot; hätte er sich sparen können";0;;;;;
Genial!;0;;;;;
So funny;0;;;;;
🤣🤣🤣🤣🤣👍;0;;;;;
Alter geil 🤣🤣🤣🤣;0;;;;;
Selbst diese Politiker im Hintergrund waren amüsiert.;0;;;;;
Das bringt den Irrsinn der Altparteien auf den Punkt! Super gemacht 100 Daumen nach oben.👍😂;0;;;;;
wiiiiie geil 💙💙💙;0;;;;;
Der Menschheit geht es zu gut! Wir haben sonst keine wirklichen Probleme mehr?;1;;;;;
"Es geht nicht noch besser ;)";0;;;;;
Deutschland macht nur noch Politik für Minderheiten.;1;;;;;
Einfach nicht lustig sich über Geschlechtervielfalt auf diesem Kindergartenniveau zu ammüsieren ..... natürlich gibt es solche die auf genau die eine Bezeichnung pochen, aber so zu tun als wäre das allgemein für jedes unkonventionelle Gender ein riesen Ding ist einfach lächerlich und eigentlich garnicht wert überhaupt ausgestrahlt zu werden.;1;;;;;
Wie wäre es mit: sehr geehrte Menschen ?!;0;;;;;
Heute erst gesehen. Einfach zu gut. Eiskalt durchgezogen.;0;;;;;
Seit drei Jahren, muss ich mir das alle paar Monate anschauen wenn mir dieser ganze gesellschaftliche Irrsinn zu viel wird. Eine Wohltat!;1;;;;;
Das ist einfach genial gemacht;0;;;;;
Dass keine Ironie. Das ist eine völlig korrekte Ansprache ! In der derzeitigen Ultra liberalen Politikbild auf diese Äußerungen von  Steffen Königer AfD, gab es keine Kritik. Die reine Wahrheit existiert, aber man muss sie suchen.;1;;;;;
".../-innen hat er bei jedem der angesprochenen &quot;Geschlechter&quot; noch vergessen. Da würde er wohl heute noch quasseln.  ;)";1;;;;;
"Meine Damen und Herren, sehr geehrte Schwule, sehr geehrte Lesben, sehr geehrte Androgyne, sehr geehrte Bigender, sehr geehrte Frau zu Mann und sehr geehrte Mann zu Frau, sehr geehrte Gendervariable, sehr geehrte Genderqueere, sehr geehrte Intersexuelle, sehr geehrte Weder-Noch-Geschlechter, sehr geehrte Geschlechtslose, sehr geehrte Nicht-Binäre, sehr geehrte Pangender und Pan geschlechtlichen, sehr geehrte Transmännliche und Transmänner, sehr geehrte Transweibliche und Transfrauen, sehr geehrte Transmenschen und Trans mit Stern, sehr geehrte Transsternweiblich und Transsternfrauen, sehr geehrte Transsternmännlich und Transsternmänner, sehr geehrte Transmenschen, sehr geehrte Transfeminime und sehr geehrte Transgender, sehr geehrte Transgenderweiblich und Transgenderfrau, sehr geehrte Trangendermännlich und Transgendermann, sehr geehrte Transgendermenschen, sehr geehrte Transmaskuline, sehr geehrte männlich Transsexuelle und sehr geehrte weiblich Transsexuelle, sehr geehrte transsexuelle Männer ,sehr geehrte transsexuelle Frauen, sehr geehrte transsexuelle Personen, sehr geehrter Intersternweiblich und sehr geehrter Intersternmännlich, sehr geehrte Instersternmänner, sehr geehrte Intersternfrauen, sehr geehrte Intersternmenschen, sehr geehrte Intersterngender, sehr geehrte Intersterngeschlechtlichen, sehr geehrte Zweigeschlechtlichen, sehr geehrte Zwitter, sehr geehrte Hermaphroditen, sehr geehrte Two-Spirit-3.Geschlecht und sehr geehrtes 4. Geschlecht, sehr geehrte XY-Frauen, sehr geehrte Butch, sehr geehrte Femen, sehr geehrte Drag, sehr geehrte Transvestiten, sehr geehrter Crossgender, sehr geehrtes Nullgeschlecht und natürlich auch ganz herzlich die sehr geehrten sonstigen Geschlechter, sehr geehrte Unterstrich/Baader und sehr geehrter Unterstrich/Muhs.
<br>
<br>Die AFD-Fraktion lehnt ihren Antrag ab, danke.";1;;;;;
;0;;;;;
Er hat die Crossdresser(in) vergessen! EDIT: Diskriminierung! :D;1;;;;;
👍👍🤣🤣😂;0;;;;;
Hahahahahahahahahahahahaha;0;;;;;
Ich kann nicht mehr 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 sehr geehrte geschlechtslose....🤣🤣🤣🤣🤣🤣;0;;;;;
Herrlich wunderbar.;0;;;;;
Ich bin stolz auf euch AfD.;0;;;;;
"My favorite education channel is Andrew Camarata: <a href=""https://www.youtube.com/watch?v=PvYr_vM-86M"">https://www.youtube.com/watch?v=PvYr_vM-86M</a> . He deals with lots of screws. But somehow theres just male and female parts. How come theres no &quot;divers&quot; screws?  Camarata would say: Lets go and fix this!         GB";0;;;;;
"So eon genderwahnsinn gibt&#39;s nur in Deutschland. Wohl eine große Ablenkung";1;;;;;
Dislikes von den geschlechtern die vergessen wurden 😂😂😂😂;1;;;;;
;0;;;;;
;0;;;;;
Perfekt 😂;0;;;;;
Habe echt nichts zu zufügen.;0;;;;;
Vielleicht hätten Sie lieber Ihr Studium abschließen sollen, als sich hier über Minderheiten lustig zu machen. Das halte ich für eine erbärmliche Form des Rassismus.;1;;;;;
;0;;;;;
Äh - ja, man weiß nun wirklich nicht, ob man lachen oder weinen soll - hammer-hart!!;0;;;;;
Es gibt männlich und weiblich höchstens noch Zwitter in der Natur mehr auch nicht alles andere ist Einbildung der Menschen;1;;;;;
"Wie geil!<br><a href=""http://www.youtube.com/results?search_query=%23genderunfug"">#genderunfug</a>";0;;;;;
lul;0;;;;;
"<a href=""https://www.youtube.com/watch?v=2Wp_YOOv3QQ&amp;t=2m10s"">2:10</a> wie der Präsident schauen will, wie lange es noch dauert 😂";0;;;;;
Was ist denn ein Cross Gender?<br>Ein .....Croisssant?;1;;;;;
Und der ist aus der AfD ausgetreten? Weshalb?;0;;;;;
Hahaha, klasse AfD. <br>Die Gender-Gaga Verblödung muss echt auch einmal erwähnt werden. Es sollte tatsächlich bei jeder Rede jedes Geschlecht erwähnt werden. Uuuhahaha, uuuhahaha.;1;;;;;
Immer wieder köstlich!!!<br>Danke Herr Königer👍👍<br>So zollt man dem ganzen Bullshit richtig Tribut!!!!;1;;;;;
Das ist dann wohl rechte satire;0;;;;;
Steffen Königer hat den absoluten Durchblick. <br>Diese Rede ist Gold wert.<br><br>Schade, dass er nicht mehr bei der AFD ist.;0;;;;;
Das verletzt einfach nur die Menschenwürde😡, ist ja gut wenn er alle Geschlechter nennt. Aber die Sexualitäten haben damit doch gar nichts zu tun. Es ist einfach nur beleidigend Schwule und Männer getrennt aufzuzählen, das heißt ja quasi das Schwule keine Männer sind😤😤.;1;;;;;
Kann die AFD bitte ihre Wortbeiträge immer nur auf die Begrüßung beschränken? Und warum wurden seine Parteifreunde nicht begrüßt? Sehr geehrte verdreckte Nazis hat er vergessen.;0;;;;;
Der trägt Damenunterwäsche.;0;;;;;
Sehr geehrter langhaariger idiot;0;;;;;
Sind das nur noch Bekloppte?! Ja!;0;;;;;
Ich finde das als Transsexuelle sehr übertrieben. Diese politische Korrektheit ist echt das Letzte. Und ich mag die AFD nüsch so. Aber da haben Sie recht, wenn die sich darüber lustig machen.<br>Es gibt nur zwei Geschlechter. Männlich und Weiblich! PUNKT!<br>Alles andere ist entweder eine sexuelle Vorliebe wie zum Beispiel Pansexualität oder Homosexualität.<br>Transsexualität und Intersexualität eine genetische Störung.<br>Alles andere ist wichtigtuerisch. Wenn man nix besonderes ist, dann macht man sich eben zu etwas besonderem. Zumindest  versucht man es zu sein.;1;;;;;
Ich lach mich tot 😁;0;;;;;
Absolut respektlos. Jeder identifiziert sich anders und das ist unter aller sau. Das ist kein Humor, das ist Diskriminierung. Alle Queeren Menschen verspüren Leidensdruck den sich cisgender gar nicht vorstellen können. Denkt doch bitte mal darüber nach.;1;;;;;
Alle Länder ohne Gender!;1;;;;;
Extrem peinlicher Auftritt...<br>Wenn man keine Argumente mehr hat, kann man das machen, ist halt dumm.;0;;;;;
Und wie er aus der Partei ausgetrten ist, weil die AfD eben ein Verein für Affen ist und bleibt xD;0;;;;;
Sensationell!!!😂;0;;;;;
Großartig , endlich mal wieder was zu lachen.;0;;;;;
Man konnte kurzer: Sehr geehrte Dammen und Herrn, zehr geeherte Genderidioten,;1;;;;;
Ich küss dein Auge Steffen;0;;;;;
Geil 😂😂😂;0;;;;;
Sehr geehrte Menschen würde reichen!;0;;;;;
Scheißkacke;0;;;;;
Perfekte Antwort auf die Genderidiotie;1;;;;;
Da merke ich mal, wie ungebildet ich bin ... kann mit der Hälfte der Bezeichnungen nix anfangen ...;0;;;;;
Idiot;0;;;;;
Das bornierte Suppenhuhn rechts hinter im- herrlich!;0;;;;;
Hat die AfD inzwischen verlassen. So wie alle die nicht in der zur NPD 2.0 tendierenden Höcke-Partei sein möchten. Momentan lässt sich klar erkennen, dass die AfD sich nun selbst hinrichtet. :);0;;;;;
Ein AFDler hat was schlaues gesagt? WIE GEHT DAS?;0;;;;;
Bravo :);0;;;;;
Wie wärs mit sehr geehrten Menschen oder Leute? Kann jeder sein, was er will wie er sich fühlt und das Sprachchaos ist auch überwunden. Lösung für alle.;1;;;;;
Der einzige, welcher in dem Video schwachsinnig ist, ist der AfD-Heini. Diskussionsvermeider ohne Sinn und Verstand. Wenn man Frust wegen der Unterdrückung durch Industrievertretung der CDU/SPD/FDP/Grünen anstaut, dann wäre es sinnvoll, nicht wie im Mittelalter auf Minderheiten oder vermeintlichen Minderheiten herumzuprügeln und weiter wie die Idioten CDU/SPD/FDP/Grüne vor sich hinzuwählen und erst recht nicht die neoliberal-nationalistische! AfD zu wählen.<br>Das verschlimmert die Zustände in den Regionen nicht nur dieses Landes, sondern auch in anderen Ländern. Ohne Hinterfragen, Analyse und Diskussion kann keine gemeinnützige Tat entstehen. Ohne Grundlage von Verfassung und Menschenrechten, gibt es keine rechtliche Grundlage sich gegen Ungerechtigkeit zu organisieren.<br>Wie stellen sich die Frustwähler das vor? Sie werden doch lediglich als Spielball zwischen CDU/CSU-Rechten und AfD-Rechten aufgerieben und die Industrie mit ihrem Hartz IV und ihrem Geld- und Mehrwert-Staubsauger speist sich immer mehr aus dem steigenden Hass der Menschen gegen Minderheiten.;1;;;;;
Die haben ja doch Humor.;0;;;;;
(m) männlich, (w) weiblich, (d) dämlich.;1;;;;;
Inhalt?;0;;;;;
Ist das André Rieu?;0;;;;;
Außer Gramsci und seinen Nachfolgern ist nur Wohlstand schuld dran. Im letzten Jahr habe ich Erinnerungen meines Onkels gelesen, der nach dem Krieg als Vertriebener in Berlin landete. Er hat sich versteift und drei Monate nur Schmalzbrot gegessen, um sein erstes Bett zu kaufen. Damals hatte niemand Zeit und Lust für solchen Schwachsinn, weil man vor allem überleben musste.;0;;;;;
Ich höre ein Haufen Wiederholungen. Unterschiedliche Begriffe, die aber alle das gleiche beschreiben. Das ist für mich keine Begrüßung mehr, sondern Zirkus und albern.;0;;;;;
Hätte man nicht einfach sagen können : Sehr geehrte Menschen?;0;;;;;
der hat transgender menschen mehrmals angesprochenen um es grösser anhören zu lassen. Es ist einfach schlimm das es in Deutschland menschen gibt die andere angreifen nur weil sie nicht so  geboren wurden wie sie.;1;;;;;
Bin zwar normalerweise kein afd Fan aber diese Partei traut sich wenigsten die Wahrheit auszusprechen!;0;;;;;
Also das war lustig 😂;0;;;;;
😂;0;;;;;
Eifach nur geil leider g eil;0;;;;;
Was sagt er nach der Begrüßung?;0;;;;;
Loriot^5;0;;;;;
"<a href=""https://youtu.be/PTE38cF2mYQ"">https://youtu.be/PTE38cF2mYQ</a>";0;;;;;
Genau sowas mag ich an der Afd. Fick alle die sich als Divers bezeichnen, also Bigender, Agender, Androgyne, Gendervariable und wie die Bastarde alle heißen!;1;;;;;
"<a href=""https://youtu.be/5SxvhTJMc_c"">https://youtu.be/5SxvhTJMc_c</a>";0;;;;;
Ich bin nicht schwul, frag meinen Mann!;1;;;;;
Ich halte wirklich nicht viel von der AFD, aber das war ein gutes und gelungenes Statement;0;;;;;
Wählt die Afd!;0;;;;;
Sehr geehrtes Arschloch;0;;;;;
Legende!;0;;;;;
er trifft den Nagel auf den Kopf wo die Gesellschaft hingeht wenn jeder was zu sagen haben will und auf sein Ego schwört;0;;;;;
Und noch jemand der Gender nicht verstanden hat.;1;;;;;
"Wie wäre es mit &quot;sehr geehrte Menschen&quot; oder mit &quot;sehr geehrte Zuhörer&quot;? Warum muss man sich das Leben so schwer machen?";0;;;;;
Sehr geehrte Damen und Herren, liebe Geschlechter.;1;;;;;
Er hat leicht übertrieben, alle trans- Namen die er benannt hat bedeuten eigentlich dasselbe und wenn man nicht binär ist, ist man alles außer männlich oder weiblich, also war es mehr als unnötig den ganzen restlichen Mist, der Wissenschaftlich nicht einmal als Geschlecht angesehen werden kann zu erwähnen.;1;;;;;
was für eine heuchelei.. diesen aufwand braucht kein mensch.. also diese aufregung um den absolut nachvollziehbaren antrag der grünen.. was der sektenführer da am mikro erzählt hat ja nichts mit dem realen antrrag am hut!;0;;;;;
Sehr geehrte Menschen hätte es auch getan.;0;;;;;
"it&#39;s not a parliament, it&#39;s a mental institution, and this guy appears to be a doctor";0;;;;;
TRIGGERED!<br>REEEEEEEEEEEEEEEEEEE;0;;;;;
geil;0;;;;;
Genderfluide wurden vergessen;1;;;;;
<b>AFD bringing balance to the force</b>;0;;;;;
"Schwul und Lesbisch zu sein ist kein Geschlecht, sondern eine angeborene Sexualität. Außerdem gibt es keinen Grund jemanden als Transmann/ frau anzusprechen, Mann oder Frau reicht vollkommen... Wer diese grundlegenden Dinge nicht verstanden hat, sollte sich eventuell einmal Gedanken darüber machen, ob er sich mit dem Thema nicht eventuell unzureichend auseinandergesetzt hat. Natürlich ist es richtig sich mit der Frage, ob man &quot;gendern&quot; soll oder nicht, kritisch zu beschäftigen. Es ist allerdings empfehlenswert sich ERST über das Thema zu informieren und DANACH eine ironische Rede darüber zu halten.";1;;;;;
allein die begrüßung ist der eigentliche punkt der redezeit<br>super allen mal zu zeigen wie dämlich das ist!;0;;;;;
...wie Recht der Herr da hat...‼️‼️‼️...😱😱😱...das es da so viele Unterteilungen gibt,das habe ich nicht gewußt😱😱😱...schrecklich ...‼️‼️;1;;;;;
Die blonde Lesbe am Pult rechts lacht nicht !;0;;;;;
GENDER, SCHWARZE LÖCHER UND NULLEN, GRETA STORMING, CO2 WIRRWAR, BREXIT - OHNE ENDE . GUTE NACHT;1;;;;;
"Respekt! Kennt Ihr den schon? <a href=""https://www.youtube.com/watch?v=GEw2ae4lV4E"">https://www.youtube.com/watch?v=GEw2ae4lV4E</a>";0;;;;;
Sehr geehrte Marsianer ,ist vergessen worden !  😂;1;;;;;
Super, Stefan Königer zeigt diesen Vollpfosten auf ,was für einen Schwachsinn der ganze Genderwahn ist.;0;;;;;
Bin auch kein Freund der AFD aber hier hat er ihnen mal Ihre Dummheit vor Augen geführt.<br><br>Hoffentlich fühlt sich keiner Diskriminiert,den müssen die nochmal 150 Geschlechter Erfinden.;1;;;;;
Naja man kann sagen was man will, der war gut 😂;0;;;;;
Wirklich ehrenwert😂<br>Um sowas zu feiern muss man echt kein afd Fan sein😂;0;;;;;
Wahnsinn 😁😁😁😁Deutschland ist ein Affenhaus.;0;;;;;
Beste Ansprache. Drecks gender gaga Idioten.;1;;;;;
Ein astreines Video!;0;;;;;
So ein ehrenmann 😂👌🏻👍🏻;0;;;;;
Das hat das Grün/Linke Dreckvolk nun davon 👍;0;;;;;
Ganz ehrlich muss ich sagen das ich da ich doch recht konservativ eingestellt bin dieses ganze thema gender nicht gut finde! es kann doch jeder für sich selbst leben wie er/sie will! Gleichberechtigung und so weiter! Das dies alles so aufgebauscht wird finde ich höchst schädlich und allgemein fast schon lächerlich! Wenn unbedingt eine neutrale Begrüßung her muss, dann doch einfach : sehr geehrte Mitmenschen!... das reicht doch! Diese ganzen Begriffe machen einen doch irre, was soll das? Ich habe mich selbst im Februar geoutet, auch ich bin trans Mensch und ich will keine Aufmerksamkeit oder mehr Rechte! Ich hab hier doch alles was ich brauche. Ich will mich auch nicht mit dem ganzen Begriffs-Schwachsinn auseinandersetzen, das ist in meinen Augen einfach peinlich und genauso schädlich wie irgendwelche porno Paraden für homosexuelle Menschen! zuviel Beachtung, zuviel Zwang der damit verbunden ist;1;;;;;
Er hat die große community der Apache-kampfhubschrauber vergessen!!!!!!;0;;;;;
Für sowas haben die Politiker wieder zeit...;0;;;;;
Ich wähle grün aber der dude hat recht lmao. Irgendwo is auch mal Schluß;0;;;;;
AfD ich könnte Kotzen😠😠😠;0;;;;;
wenn wir für jedes aufgeführte geschlecht eine eigene toilette errichten würden, wäre die welt tatsächlich nicht groß genug.;1;;;;;
So muss man mal in den Tag starten!!! <br>Er hält den Antragstellern mal den Spiegel vor... doch die merken es sicher nicht...<br>Wir haben in Deutschland ganz andere Baustellen...;0;;;;;
He is a total SOB, like all the nazi Afd politicians.;0;;;;;
Sarkasmus  von aller feinsten 😂;0;;;;;
Hoffe dass alle Transgender-Aktivisten mal merken wie dämlich es einfach ist.;1;;;;;
Kann man nicht einfach bei männlich und weiblich bleiben da es die beiden einzigen Geschlechter sind die es gibt . Zu gut der Mann 😂;1;;;;;
Aktueller denn je...;0;;;;;
Sehr geehrte kohlenstoffbasierte Lebensformen und sehr geehrte kohlenstoffbasierte Lebensforminnen.;1;;;;;
Sorry aber über was diskutieren wir hier? Das ist abartig unnötig. Seit tausenden Jahren gibt es Mann und frau und nichts anderes. Ist das heute anders? Nein! Entweder ist man männlich oder weiblich. Fertig. Alles andere ist absoluter hochkarätiger Humbug. Diese selbsternannten 3ten Geschlechter und allerlei andere Quatsch soll seine Fantasien Zuhause ausleben aber es gilt: Mann ist Mann und Frau ist Frau. Eindeutig. Da kann mir keiner mit was anderem kommen.;1;;;;;
Genau so sollten politische Statements sein. Mehr muss man zu dem ganzen Schwachsinn nicht sagen. Endlich mal einer der ganz wenigen Lichtblicke. Wenn auch ausgerechnet von einem AfD-Politiker.;0;;;;;
Wie findet man Geschlecht und sexuelle Neigungen von SJWs heraus? (A: Keine Sorge. Sie werden dir davon erzählen...);1;;;;;
Aber leider können die ni hts dafür;0;;;;;
Hahaha ehrenmann;0;;;;;
Mir tuhen Menschen leid die erst Studieren müssen, um dann ein Geschlecht zu wählen. Wie weit kann man kommen, wenn man sich noch als Erwachsener,  mit den absoluten Grundlagen des Lebens beschäftigen muss ?.;1;;;;;
"Hahaha, sowas bringt nur die AfD xD Abolut genial &lt;3";0;;;;;
Alle die sich bei etwas anderem wie männlich und weiblich angesprochen fühlen... wir brauchen euch nicht...;1;;;;;
Super! Ich habe Tränen gelacht!;0;;;;;
GEILER TYP;0;;;;;
Mein Hund meint auch er wäre eine Katze,der fängt jetzt das schnurren an.;1;;;;;
😂😂😂😂 richtig so!;0;;;;;
Ich hoffe nicht alle seine emails fangen so an :D;0;;;;;
Was ein spaßt;0;;;;;
man muss schon sagen die AfD hat einfach inhaltlich die besten Themen😂 unglaublich worum sich diese Vollidioten Sorgen machen, aber immer noch keinen Plan was die Rente angeht, oder bezahlbare Wohnungen, oder wie man die Finanztransaktionen höher besteuern könnte... aber nein, lieber 10 Minuten Unsinn quatschen🙄 Pennerpartei;0;;;;;
